Grupo,P2X4
SS,1.2181
SS,0.8794
SS,0.8008
SS,0.8407
SS,1.2610
IRS,0.5211
IRS,0.6634
IRS,0.8008
IRS,1.2181
IRS,1.0604
SPCS,0.0203
SPCS,0.2080
SPCS,0.0322
SPCS,0.4812
SPCS,0.0120
IRPCS,0.0054
IRPCS,0.1271
IRPCS,0.1138
IRPCS,0.0192
IRPCS,0.0338
IRPCS,0.0440
