Grupo,P2X4
SS,1.22
SS,0.88
SS,0.80
SS,0.84
SS,1.26
IRS,0.52
IRS,0.66
IRS,0.80
IRS,1.22
IRS,1.06
SPCS,0.02
SPCS,0.21
SPCS,0.03
SPCS,0.48
SPCS,0.01
IRPCS,0.01
IRPCS,0.13
IRPCS,0.11
IRPCS,0.02
IRPCS,0.03
IRPCS,0.04
